Ship,Date,country,shiptype,captain_name
jeqhrk,23-07-1587,Korea,LNG Tanker,Ogma
lbvquh,13-10-1870,Mauritius,Passenger (Cruise) Ship,Tegmine
hwrguz,06-04-1614,Canada,Crude Oil Tanker,Alsephina
rgqvkz,24-04-1734,Japan,LNG Tanker,Tegmine
utzher,02-10-1556,Argentina,LNG Tanker,Saiph
wmlgot,19-06-1845,United States (USA),Bulk Carrier,Mirfak
ocwinx,10-07-1534,Germany,Crude Oil Tanker,Yed Posterior
pdwouj,02-09-2009,Norway,LNG Tanker,Phact
wmqoll,11-11-1996,India,LNG Tanker,Elgafar
jgyfay,08-10-1880,Spain,Container Ship,Sulafat
dbwroz,29-10-1704,United Kingdom (UK),Container Ship,Alshat
cvidqc,14-06-1969,Italy,Crude Oil Tanker,Jabbah
slysae,29-06-1553,Turkey,LNG Tanker,Alzirr
notsei,26-09-1835,Estonia,Bulk Carrier,Sadalbari
ooggzx,19-04-1889,United States (USA),Container Ship,Betelgeuse
kkghao,04-01-1548,Norway,Container Ship,Cujam
xevhxx,05-10-1956,Sweden,Container Ship,Alderamin
jayvnm,14-01-1551,Canada,LNG Tanker,Azmidi
yzkhms,12-03-1651,Norway,Bulk Carrier,Tianguan
bvbjcs,14-12-1501,Estonia,Bulk Carrier,Dubhe
ljwqaa,04-05-1586,Fiji,LNG Tanker,Mintaka
ddibtn,08-08-1672,Australia,Bulk Carrier,Miaplacidus
gjhhrd,20-07-1778,Nauru,Container Ship,Secunda Hyadum
lenmaw,14-10-1775,Norway,Passenger (Cruise) Ship,Electra
lugbul,26-09-2000,Italy,Bulk Carrier,Furud
xhhkge,26-10-1795,Sweden,Crude Oil Tanker,Acubens
poafow,13-09-1857,Croatia,Container Ship,Okab
pfrpth,05-10-1782,Greece,Crude Oil Tanker,Marfik
igeiia,20-05-1577,Germany,Container Ship,Tonatiuh
iibcij,02-10-1941,United States (USA),Bulk Carrier,Subra
glmvyy,07-05-1752,United Kingdom (UK),Container Ship,Algedi
wxaxgu,23-11-1848,China,Bulk Carrier,Megrez
wwhdxo,23-11-2009,Malaysia,Crude Oil Tanker,Azha
vqczxv,11-06-1659,Croatia,Crude Oil Tanker,Beemim
gfkfqc,01-11-1668,China,Crude Oil Tanker,Rasalgethi
jqfeep,18-04-1644,Argentina,Container Ship,Muliphein
frzpey,11-05-1636,Japan,Container Ship,Sadr
aymdfg,12-05-1951,Aruba,Crude Oil Tanker,Menkalinan
ponjcd,11-04-1801,Korea,Passenger (Cruise) Ship,Furud
xeyskz,27-11-1567,United States (USA),LNG Tanker,Tejat
ztswta,12-03-1922,Norway,Crude Oil Tanker,Larawag
xnhxwe,20-08-1925,United States (USA),Container Ship,Fang
scbbft,11-08-1700,United Kingdom (UK),LNG Tanker,Lich
mqcbsz,07-04-1906,Korea,Bulk Carrier,Castula
eaoeut,11-11-1800,Canada,Passenger (Cruise) Ship,Aspidiske
xebjoq,23-01-1945,United States (USA),Crude Oil Tanker,Alzirr
svqwii,21-04-1554,Qatar,Bulk Carrier,Alpheratz
sdwdmf,07-11-1576,Netherlands,Crude Oil Tanker,Meleph
lgfhtt,01-04-1654,Japan,Container Ship,Cujam
jyuehu,10-11-1683,United States (USA),Container Ship,Sadr
xlnvet,12-09-1532,New Caledonia,Container Ship,Mothallah
pxnuwz,15-11-2001,Croatia,Crude Oil Tanker,Elnath
ftwaur,15-04-1557,Japan,Container Ship,Sualocin
kaypyp,06-07-1655,Japan,Bulk Carrier,Dziban
zfaozz,13-01-1870,Norway,Container Ship,Libertas
ubcbfc,20-06-1883,United Kingdom (UK),Crude Oil Tanker,Nunki
lplnhm,12-02-1716,Estonia,Bulk Carrier,Okab
hwsvgx,26-02-1871,Argentina,Container Ship,Secunda Hyadum
ufhwnu,23-02-1676,United States (USA),Bulk Carrier,Beemim
rjcyol,07-01-1617,United Kingdom (UK),Bulk Carrier,Nekkar
cvdkzx,22-08-1748,Canada,LNG Tanker,Chertan
yekcit,04-08-1723,United Kingdom (UK),Bulk Carrier,Meleph
gzegil,23-10-1627,Croatia,Bulk Carrier,Marfik
dnswtu,07-05-1616,Japan,LNG Tanker,Vindemiatrix
gwucxl,28-08-1831,Italy,Bulk Carrier,Vega
xuhjei,21-01-1779,Canada,Container Ship,Sirius
vdnkkj,26-07-1898,Netherlands,Bulk Carrier,Zibal
jcwznn,01-02-1651,Angola,Container Ship,Zibal
fnhytg,13-10-1844,France,Bulk Carrier,Mimosa
pkwyny,02-09-1688,United Kingdom (UK),LNG Tanker,Sheratan
sqummr,25-06-1622,Japan,Crude Oil Tanker,Rigil Kentaurus
gyzycg,09-04-1999,United Kingdom (UK),LNG Tanker,Wurren
mhkbip,16-06-1722,Japan,Container Ship,Fafnir
oeqdqq,29-06-1793,United Arab Emirates (UAE),Bulk Carrier,Rastaban
jaaipq,07-01-1881,United States (USA),LNG Tanker,Nashira
dyilzx,24-01-1639,Netherlands,Container Ship,Tania Australis
ozszyl,27-03-1645,Japan,Container Ship,Zubenelhakrabi
hzkxue,16-05-1745,Argentina,Container Ship,Atria
gluctt,09-12-1830,China,Bulk Carrier,Rastaban
isptbb,04-04-1758,Indonesia,Offshore Support Vessel,Tiaki
uccluy,23-07-1770,Portugal,Container Ship,Thuban
nhekhi,02-04-1959,Puerto Rico,Bulk Carrier,Lilii Borea
txbqty,26-08-1884,Portugal,Bulk Carrier,Alruba
zttfcn,28-08-1538,Chile,Container Ship,Yed Prior
yuledr,25-11-1761,United States (USA),Bulk Carrier,Anser
nhpubv,22-09-1942,United Kingdom (UK),Bulk Carrier,Dabih
